ip.src,ip.dst,tcp.len,tcp.time_delta,tcp.flags,mqtt.msgtype,mqtt.msgid,mqtt.qos,mqtt.dupflag,mqtt.len,mqtt.kalive,mqtt.conack.val,mqtt.conflag.passwd,mqtt.retain,timestamp
10.0.0.99,10.0.0.10,23168,0.000039569,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.382073
10.0.0.99,10.0.0.10,23168,0.000021497,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.386421
10.0.0.99,10.0.0.10,15232,0.016859595,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.389401
10.0.0.99,10.0.0.10,2688,0.001226058,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.390315
10.0.0.99,10.0.0.10,24616,0.014597769,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.394053
10.0.0.99,10.0.0.10,12672,0.012837355,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.396725
10.0.0.99,10.0.0.10,2688,0.000997808,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.397694
10.0.0.99,10.0.0.10,12672,0.010274912,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.399637
10.0.0.99,10.0.0.10,2688,0.001008583,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.400330
10.0.0.99,10.0.0.10,16504,0.008029279,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.402658
10.0.0.99,10.0.0.10,23168,0.001320987,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.406559
10.0.0.99,10.0.0.10,976,0.007909415,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.407518
10.0.0.99,10.0.0.10,1592,0.000036545,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.407739
10.0.0.99,10.0.0.10,12552,0.002106545,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.409690
10.0.0.99,10.0.0.10,4344,0.000637518,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.410670
10.0.0.99,10.0.0.10,24616,0.001505643,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.414169
10.0.0.99,10.0.0.10,21720,0.002002785,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.418201
10.0.0.99,10.0.0.10,19208,0.004194229,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.421822
10.0.0.99,10.0.0.10,22824,0.003383233,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.425623
10.0.0.99,10.0.0.10,2264,0.001857535,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.427039
10.0.0.99,10.0.0.10,46336,0.000013692,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.435163
10.0.0.99,10.0.0.10,37632,0.003733056,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.443792
10.0.0.99,10.0.0.10,4864,0.003132773,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.641413
10.0.0.99,10.0.0.10,46336,0.006883683,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.648215
10.0.0.99,10.0.0.10,37632,0.003862541,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.655648
10.0.0.99,10.0.0.10,4352,0.007419625,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.657628
10.0.0.99,10.0.0.10,4864,0.003500790,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.658581
10.0.0.99,10.0.0.10,4352,0.000401378,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.659301
10.0.0.99,10.0.0.10,46336,0.003518939,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.666067
10.0.0.99,10.0.0.10,41728,0.003860314,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.674028
10.0.0.99,10.0.0.10,14592,0.003475356,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.677906
10.0.0.99,10.0.0.10,4352,0.001230106,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.679005
10.0.0.99,10.0.0.10,1792,0.000341174,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.679318
10.0.0.99,10.0.0.10,50680,0.000012699,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.686588
10.0.0.99,10.0.0.10,33800,0.004101500,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.694735
10.0.0.99,10.0.0.10,1448,0.002945223,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.696319
10.0.0.99,10.0.0.10,1448,0.000010862,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.696555
10.0.0.99,10.0.0.10,1448,0.000004974,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.697043
10.0.0.99,10.0.0.10,1448,0.000002238,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.697067
10.0.0.99,10.0.0.10,1448,0.000003776,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.697378
10.0.0.99,10.0.0.10,1448,0.000002072,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.697794
10.0.0.99,10.0.0.10,1448,0.000003715,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.697875
10.0.0.99,10.0.0.10,1448,0.000001793,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.698124
10.0.0.99,10.0.0.10,1448,0.000003607,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.698373
10.0.0.99,10.0.0.10,1448,0.000002038,0x0010,3,,0,False,16,,,,False,2026-05-01T15:07:47.698628
10.0.0.99,10.0.0.10,872,0.000004038,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.698785
10.0.0.99,10.0.0.10,3592,0.001095435,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.699527
10.0.0.99,10.0.0.10,26064,0.000025557,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.703336
10.0.0.99,10.0.0.10,26064,0.002056314,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.707906
10.0.0.99,10.0.0.10,46336,0.000013034,0x0018,3,,0,False,16,,,,False,2026-05-01T15:07:47.715607
